,quote,probability,logprobs
10,"You said tomorrow, yesterday.",-58.85709586100001,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -5.515261, -6.3913627, -9.848316, -1.2715405, -4.094067, -1.2979615]"
11,"Mental resilience is trained. 

It is practiced. 

Like all else of virtue. 

You must fortify your mind against negative thoughts. 

I can’t even remember how it feels to doubt myself.",-170.38184442789998,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -12.433041, -7.877526, -0.6505914, -8.135986, -2.82442, -6.0977387, -0.44072506, -2.3639226, -4.241487, -0.9919818, -6.91203, -1.4318484, -0.8043458, -0.03754661, -0.08906022, -4.810085, -3.1703546, -4.6025205, -4.0090876, -4.727259, -1.3994974, -0.7512271, -0.057257347, -0.12335968, -3.2047877, -2.1062648, -9.325131, -0.009699642, -0.8303879, -0.67805123, -2.3556695, -4.50043, -1.2493486, -0.69220006, -0.3471425, -0.015840497, -0.029392174, -5.031064, -3.7473679, -2.5692077, -0.00167834, -0.0006382224, -5.828554, -3.562285, -2.0008097, -3.7193146, -1.6083726, -0.47778532, -6.0306225, -0.60922265, -0.42704254]"
12,"Going to jail when guilty of a crime is the life story of a criminal.

Going to jail when completely innocent is the story of a hero.",-111.88788684950002,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -11.3712015, -1.4748085, -6.123675, -6.4655004, -5.154328, -3.4844158, -0.71712023, -0.17995864, -0.3327392, -2.8456461, -9.002376, -6.981428, -0.077996716, -0.8569714, -4.2642384, -0.5215374, -1.2813964, -0.022531763, -4.4888625, -0.042589143, -0.11592258, -0.36129677, -8.588002, -0.038194884, -0.38737282, -0.2897087, -3.0806103, -0.021985808, -0.5184333, -2.1743593, -0.18204436]"
13,"I do not believe in things that take away power from me

Watch the full interview here: 
https://t.co/rS2vYKJull https://t.co/NZqJVPYexe",-192.92857004371,"[None, -8.737247, -5.3706017, -1.8175522, -10.784239, -0.378964, -0.0013412435, -3.3502562, -4.6360745, -3.4643316, -0.15634988, -3.7803833, -0.784213, -5.1421275, -1.2017311, -7.5376916, -2.7496424, -5.819906, -0.26695737, -3.2415712, -4.648245, -0.019908082, -8.510433, -1.9565752, -2.92357, -1.2857238, -1.1212937, -0.6765998, -7.561146, -1.500223, -2.5014122, -0.0004231765, -5.7455726, -0.33384943, -0.048615053, -0.00030976496, -4.4908447, -4.4062924, -3.6860187, -4.097944, -4.126991, -4.264763, -3.974313, -12.376902, -2.8562267, -0.0007470167, -0.007535925, -0.0003170395, -0.0005732152, -0.00023094735, -8.458641, -4.2556176, -4.1122828, -7.966884, -3.9348974, -11.855467]"
14,"Your life has been NOTHING but comfort. 

What you think was “hard” is laughably easy to your best version.",-147.61075286109994,"[None, -8.736478, -5.3706117, -1.8184412, -10.781623, -0.37957734, -0.0013472096, -3.352732, -8.04125, -3.588156, -3.6497767, -1.4875888, -12.417168, -1.6240671, -0.0043906015, -1.0720102, -9.07119, -1.9001365, -5.4536943, -0.55848044, -3.2539296, -4.39757, -3.150014, -6.0265536, -6.1684227, -4.8832774, -0.27109715, -4.275103, -0.41426563, -0.00801569, -1.5834124, -7.1446357, -0.05996374, -0.7631757, -1.8956845, -5.357612, -7.9639144, -10.018263, -0.66712356]"
15,"Real work is absolutely admirable. 

Hard-working men make the world go round.",-100.57369828549997,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -9.689684, -6.450587, -0.87016, -10.186057, -7.5659823, -0.989026, -5.243242, -0.6268549, -2.303929, -9.357207, -3.2809417, -0.48064828, -4.622812, -4.1281695, -2.0103545, -0.68948096, -1.0734396, -0.37369877, -0.19078884]"
16,"What can my enemies do to me? 

My paradise is in my heart, it is with me wherever I go.

To imprison me is to provide me with seclusion.

To send me into exile is to send me away in the Path of Allah.

And to kill me is to make me a martyr.

-Ibn Taymiyyah",-105.93677130934996,"[None, -8.737378, -5.3696976, -1.8179363, -10.783024, -0.37980998, -0.0013473288, -3.3514237, -6.064452, -4.2922153, -6.785828, -6.491981, -0.3899543, -0.22752157, -0.06299041, -0.07988413, -5.3605494, -1.1128287, -3.3321853, -1.622293, -7.2294583, -0.2126726, -2.1140287, -0.22319083, -0.23330872, -0.6748425, -0.31622547, -0.07485996, -0.2435722, -0.0021120096, -0.020760356, -0.011028583, -0.004679442, -0.080615744, -1.0983686, -0.26235995, -2.4230027, -2.9629319, -0.038768355, -0.033677977, -0.009894061, -0.0068655726, -0.0009337978, -0.006659445, -0.0020163837, -0.016356504, -0.04429739, -0.6875716, -0.15401621, -0.027697256, -0.039518617, -0.99854743, -0.14478359, -0.01533091, -0.0043288786, -0.001652607, -0.021071617, -0.0012256374, -0.00086196855, -0.21664086, -3.5921843, -3.6159081, -0.08890015, -0.35045618, -0.03444848, -0.12798406, -0.013768098, -0.18330388, -0.045062345, -0.0154590495, -0.0006719809, -0.012200114, -0.0029817154, -0.12644017, -0.002032929, -0.0025846555, -0.024321504, -0.2776185, -0.3537089, -0.03252402, -5.2925353, -4.0555596, -0.2083563, -0.416337, -0.023086186, -0.023821821, -0.09048072]"
17,"The most important factor in determining how successful you are in life 

Watch the full interview here: 
https://t.co/rS2vYKK2aT https://t.co/9sUJYwAg7p",-189.76394484813,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -4.175551, -4.323433, -1.1889229, -5.530714, -0.8738243, -2.7836843, -3.16515, -3.34732, -1.177771, -0.79913175, -1.1561815, -0.7477733, -8.280765, -3.278348, -3.7390254, -10.196514, -2.1349428, -3.1752765, -2.672888, -1.157038, -0.37191275, -2.0723026, -0.29792374, -1.3233042, -0.0005126834, -5.9716697, -0.45168263, -0.17171839, -0.00031489186, -4.4691257, -4.386488, -3.675668, -4.1363106, -4.05893, -8.29671, -4.163094, -4.5454187, -3.6166961, -2.487405, -0.0016557111, -0.007901896, -0.00057369197, -0.0011964577, -0.0002351206, -4.2532372, -4.4567866, -4.120551, -3.8280485, -4.033869, -4.181904, -7.919413, -4.135348, -3.9811473]"
18,"Your life can be like a movie. 

The mundane, the boring, the average, your life doesn’t NEED to be this way. 

But every good movie has some sort of risk. 

The heroes of the stories are willing to take them. 

Are you?",-185.47031870693,"[None, -8.7372875, -5.3729615, -1.8188556, -10.7800665, -0.37946567, -0.0013472096, -3.3514116, -8.048261, -3.5862992, -4.372863, -0.5026101, -3.9796467, -0.7355719, -4.9844365, -1.2453152, -5.687625, -0.76749676, -2.5710487, -2.8964405, -11.941466, -3.3034477, -1.4830608, -3.5662456, -0.33525285, -0.37670845, -5.24148, -0.78415376, -5.4218907, -0.7796696, -4.2384796, -1.2358338, -0.0009767552, -0.00028973413, -8.358407, -0.1360763, -0.086570114, -3.378489, -0.10678304, -0.2085668, -1.1351525, -0.083632566, -0.112054825, -4.239769, -6.652622, -4.2596073, -0.46172965, -0.8235427, -4.3317394, -2.085541, -0.003820347, -8.2065, -1.4349743, -1.2015628, -0.037428476, -0.057160094, -2.9761233, -4.788502, -2.2100096, -1.1064022, -3.3677719, -2.8245964, -2.5766783, -0.009432814, -1.0493808, -4.1820765, -0.41566342, -0.4510623, -0.010307218, -0.015308033, -2.9957442, -0.026567921, -0.5349971]"
19,"There is no honor in comparing yourself to losers. 

You don’t want to be a winner amongst losers, 

You want to be a winner amongst winners.",-104.85057529570004,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -6.055497, -0.6647444, -0.9658513, -6.994233, -0.75289327, -8.816215, -1.2889601, -0.3642327, -6.266937, -0.4266877, -5.592525, -0.6798067, -2.0653133, -4.417375, -3.3041918, -1.8716533, -0.0019675905, -0.0006956612, -2.6285224, -0.15448862, -1.0010171, -2.1176832, -2.3212419, -6.1454597, -0.3041726, -1.3292565, -4.1331043, -0.121500015, -0.5908608, -1.98683, -0.19793436, -0.011348888, -0.08302638, -0.14573279, -0.05161646, -0.17462616, -0.13098444, -0.2528017]"
20,"The paradigm of happiness is completely misunderstood 

Watch the full interview here: https://t.co/ujnmlwW2Wr https://t.co/duY8Aq9MR9",-192.47623392352,"[None, -8.736625, -5.3702207, -1.8184744, -10.763892, -0.37975278, -0.0013438661, -3.3509839, -4.16263, -11.273712, -0.81617427, -5.47073, -0.32496452, -6.945936, -7.330817, -8.699306, -2.012332, -2.7449074, -10.07574, -2.3807418, -3.7436092, -2.9468606, -1.1380082, -0.55696666, -1.0208218, -0.00065778574, -4.8663034, -0.15062654, -0.11901489, -0.0006007101, -8.353663, -4.4438505, -7.913611, -4.245186, -4.147196, -4.0123363, -8.248104, -2.7232459, -0.0011549232, -0.004136435, -0.00037147748, -0.0013350362, -0.0005343297, -8.29249, -4.114704, -4.128935, -4.936809, -3.308545, -4.13609, -8.247638, -4.0135446]"
21,Do you believe Andrew Tate is totally innocent?,-77.650027361,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -6.3302855, -2.2027242, -4.5624895, -12.92408, -9.207334, -1.4997821, -8.210212, -1.7188609, -0.555672]"
22,"If you’re truly obsessed with working on yourself. 

You have very little time to find flaws in others.",-111.83874227940002,"[None, -8.736226, -5.3702116, -1.8189604, -10.784266, -0.3786716, -0.0013417213, -3.3495765, -4.983457, -0.69547236, -4.0468845, -0.0020533581, -0.13303067, -6.554501, -7.2379417, -0.2777388, -7.1851983, -1.912092, -2.3066523, -5.625336, -5.987702, -1.3896115, -2.4945512, -3.5418007, -3.218441, -7.344475, -1.6964133, -1.0265243, -0.63222235, -6.011379, -6.060757, -0.36428264, -0.44844964, -0.22252084]"
23,"Your enemies perpetuate “justice” and “civility” in a society designed to enslave you. 

You feel sad inside FOR A REASON. 

You can feel something isn’t right. 

You must escape the Matrix.",-199.74568577153,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -8.051271, -6.394626, -12.995091, -7.4003477, -0.20933814, -7.776411, -0.360263, -0.00309495, -2.130761, -0.8624006, -0.0016033532, -6.244073, -0.6618926, -0.0071772803, -0.30308956, -0.0013778893, -2.561146, -2.9770126, -3.3100948, -7.1193385, -0.3914466, -3.9203064, -0.00027399295, -0.5324927, -0.46096176, -7.840567, -2.0155869, -1.7797852, -3.6169815, -6.318628, -6.123857, -6.4154487, -14.22983, -3.892842, -1.4784572, -0.0016354709, -0.40404412, -1.475439, -0.07607813, -0.2566052, -1.5993187, -3.4931538, -3.5904105, -5.2771454, -5.31353, -0.15347043, -0.0005039747, -0.00012810968, -0.1587484, -1.4968433, -0.75755763, -0.037485655, -0.04471909, -1.0720491, -5.4128647, -5.830882, -1.34567, -2.4520233, -0.6668699]"
24,"There are dark forces working against you. 

You must recognize them and you must fight back.",-93.84411220879998,"[None, -8.736763, -5.372404, -1.8170688, -10.783094, -0.37947437, -0.0013455388, -3.3473248, -6.064163, -1.2899528, -10.43016, -3.0689595, -4.286836, -1.0586045, -1.6890132, -0.93454885, -4.9605064, -0.69477654, -2.7091603, -3.8809736, -3.3281164, -6.580316, -1.8150423, -1.1932998, -4.008653, -0.14855587, -2.182566, -2.7060444, -0.37638924]"
25,"Religious countries vs. Western degeneracy

Watch the full EM podcast episode here: 
https://t.co/qPa4JjhdO5 https://t.co/k5ft15gty1",-221.32534945184992,"[None, -8.737074, -5.3700786, -1.8158898, -10.782857, -0.37888417, -0.0013438661, -3.3478537, -12.056568, -8.724063, -8.717716, -0.70960903, -5.9153976, -8.213056, -0.92045826, -1.5238622, -0.023764627, -7.512238, -1.9508947, -2.5792267, -13.017834, -8.93911, -2.3248465, -1.0253594, -0.7106442, -7.153514, -2.6424856, -3.7759562, -0.0009809266, -6.702387, -0.12109263, -0.24042432, -0.001046082, -4.2197127, -8.669347, -3.8452046, -4.115943, -4.046964, -8.522778, -4.6178846, -3.2590446, -2.576509, -0.0009376754, -0.008698959, -0.00025646458, -0.0011339772, -0.00036706397, -4.4459023, -4.038654, -8.188151, -8.429591, -4.267142, -8.007222, -4.1273894]"
26,"You have no option but to perform at the highest levels. 

Anything less is failure.",-92.6596980994,"[None, -8.736005, -5.3696165, -1.817185, -10.783296, -0.37869942, -0.0013452994, -3.347349, -5.529427, -2.6855698, -4.2331243, -5.963856, -0.65848947, -0.09959765, -6.4966807, -4.1186023, -1.6912819, -0.9489805, -3.317627, -1.2611115, -5.3027472, -0.5690067, -2.923386, -9.447191, -1.559763, -1.3987756, -3.7756655, -0.24531876]"
27,"They plot and plan, and Allah too plans; but the best of planners is Allah.

Surah Al-Anfal Ayat 30",-81.80816629099999,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -8.030499, -11.41096, -1.4186268, -1.5780145, -2.101065, -1.4979244, -6.0537333, -0.7239419, -0.20524675, -0.32248217, -0.0573276, -0.027732484, -0.011337254, -0.00773623, -0.011084392, -0.011880082, -0.012692583, -0.34639817, -1.2947261, -0.015599315, -4.641349, -0.15321508, -3.1559083, -0.24427211, -0.42273277, -0.3466765, -5.9171033, -0.69015867, -0.65915537]"
28,"Your mind is an instrument. 

Learn to be its master, not its slave.",-79.05291299399998,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -8.038071, -4.71008, -0.67590964, -5.057337, -2.4510365, -2.0162208, -6.130536, -1.0584754, -2.8545659, -7.3509774, -0.49388614, -3.183962, -3.085881, -0.20797178, -0.7779762, -0.27941564, -0.036686085, -0.059687648, -0.1456497]"
29,The news is free because they need it to control you.,-76.35276790549999,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -4.175551, -7.7698727, -1.715022, -7.138193, -3.7450273, -4.4272275, -5.1328897, -3.3235826, -2.0517867, -4.8828387, -1.1846598, -0.36548197]"
30,"We are in the midst of a spiritual war. 

The final battle between humanity and the machines - before you’re reduced to a QR code. 

99.9% of men refuse the sword and shield, paralyzed as civilians, awaiting slaughter from the machine horde. 

The real pandemic is cowardice.",-260.85660688609994,"[None, -8.737154, -5.372309, -1.8167157, -10.783963, -0.3799962, -0.0013398111, -3.3513942, -6.0344677, -2.0250022, -4.6784225, -1.1321154, -2.3961585, -0.013779158, -0.95463437, -5.3126707, -3.674151, -1.1579368, -6.6053605, -1.1141014, -2.5924315, -2.5447018, -6.187479, -4.290455, -1.1236438, -9.099492, -0.0542571, -0.9365651, -3.1445153, -6.262307, -8.029602, -4.367038, -5.9493055, -0.003554422, -0.55077696, -5.77174, -0.038306296, -1.0301081, -9.825553, -0.14651187, -1.4952831, -0.9255782, -0.042841576, -0.12834418, -9.507536, -1.7411644, -0.771019, -0.13884506, -0.24689823, -5.6808453, -7.9565406, -4.109871, -7.6448026, -2.7694159, -3.6475544, -2.2141705, -10.395603, -5.938569, -9.046739, -2.1122558, -5.318815, -3.6126444, -4.903181, -0.7663238, -3.559051, -5.312782, -0.15543504, -0.43192768, -0.01584062, -0.043516017, -1.95097, -5.844744, -9.051207, -0.055635914, -0.62533766, -4.65002, -0.012112992, -0.54317003]"
31,"They don’t want you to believe your own eyes 

Watch the full EM podcast episode here: 
https://t.co/qPa4JjhdO5 https://t.co/5o1WKekkBo",-210.08303229340999,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -8.05949, -4.000109, -0.89845085, -0.004678963, -0.0015246698, -3.0302975, -2.6989217, -0.19088739, -5.436209, -3.802309, -0.9737317, -0.4667754, -8.725501, -3.4734478, -2.6666, -8.187846, -1.6123343, -2.944769, -13.07371, -10.726779, -3.0780234, -1.2289448, -0.64584136, -1.9087074, -0.2679444, -1.4232775, -0.0020637498, -4.9027805, -0.04836009, -0.040038906, -0.00041518486, -4.26232, -8.606429, -3.8259282, -4.130603, -3.94914, -8.526703, -4.5294285, -3.2767236, -2.5834472, -0.0014566196, -0.0057972134, -0.00051172887, -0.00082217914, -0.00035645344, -4.3218627, -4.53738, -3.778942, -4.1947384, -4.0300264, -8.063943, -4.3419566, -8.153112]"
32,"YOU POSSESS UNLIMITED POWER.

Harness it.

Become unstoppable.",-88.5861359315,"[None, -8.737277, -5.3710303, -1.8200344, -10.780556, -0.37877935, -0.001346254, -3.3496351, -11.689411, -7.052591, -3.133133, -0.039054163, -5.4649496, -2.2102144, -0.030528385, -0.011305423, -0.9308385, -1.8089523, -1.4017135, -0.014103003, -9.302505, -1.4076369, -1.6191276, -1.371456, -0.79588985, -0.0004045105, -5.73473, -0.042552013, -3.9431355, -0.14324588]"
33,"“Allah does not burden a soul beyond that it can bear.""

[Surah Baqarah : 286]",-74.84292117739999,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -1.5936435, -0.14585967, -11.048981, -3.1286674, -0.034601364, -2.343452, -0.37383565, -0.093384475, -0.29283088, -0.09449671, -0.04306769, -0.0067769364, -0.01713032, -5.567426, -1.4856579, -0.011904147, -5.4758825, -4.130697, -0.3391268, -1.8204848, -0.0018263595, -0.25331864, -5.3328567, -0.6218709, -0.1445069]"
34,"I was made for battle.

A warrior of the light.

My enemies hope to attack me with lies.

They try to destroy the family unit, they try to silence any loud opposition.

I refuse to leave fellow men in the dark.

Someone needs to show them the light,

Who better than TATE.",-261.62003997226,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -4.6542435, -4.2311025, -5.604273, -2.0905313, -9.631084, -1.3904035, -1.4274762, -0.014333833, -4.3604403, -4.9030595, -3.6348615, -1.0542006, -2.2407734, -7.0464044, -0.4815563, -0.00037827427, -4.460875, -5.2986436, -8.454967, -1.6984093, -5.7811522, -0.4645109, -3.712778, -4.420784, -1.0187271, -0.1280126, -0.00032634058, -1.8991927, -4.064874, -0.09409434, -3.0010953, -3.6075032, -6.796471, -4.9630837, -2.1742778, -3.5025864, -1.0965154, -0.021525292, -5.596934, -5.8251762, -7.830553, -4.1692467, -1.0330396, -0.14986293, -0.00031882763, -2.3347027, -4.725414, -0.09713054, -6.588415, -9.817502, -3.86098, -1.6434976, -0.85070306, -1.3897214, -0.4748096, -0.17835741, -0.00021979994, -7.701249, -2.3836784, -0.058424998, -4.2853107, -1.0142635, -0.3657609, -0.78423613, -2.1858068, -4.488729, -0.00079927134, -6.7009916, -1.7272564, -0.21757759, -10.157964, -10.858861, -2.2563841]"
35,"The answer is out there. It's looking for you. And it will find you if you want it to.

https://t.co/rf1rOtudjB",-110.30127460500002,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -4.1633987, -6.9563646, -0.94334775, -5.50584, -0.20288633, -1.7898861, -2.4398494, -1.3691561, -0.15449774, -0.008818794, -0.071427606, -0.8515844, -0.24208908, -0.021485278, -0.0150711695, -0.012765691, -0.004211493, -0.45107886, -0.0051239445, -0.039727848, -0.0100121135, -0.014759716, -0.4202062, -0.9422755, -0.11062241, -7.4836617, -0.0038792847, -3.7888775, -0.42442334, -0.024030847, -0.0075799488, -8.479611, -4.0791836, -4.175242, -4.44329, -4.0562534, -8.019804, -4.153218, -3.977146]"
36,"God is on our side, so the Matrix will not win.

Inshallah",-94.6367773015,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -9.053565, -1.6673925, -5.2841268, -2.3756416, -0.024588486, -1.1675969, -2.2948372, -4.0247893, -13.526382, -2.3216493, -2.2313063, -3.532299, -0.540379, -1.1378523, -0.04295407, -4.0354776, -10.764687, -0.17061801]"
37,"It appears the insanity of the ruling elite is exposed worldwide now.

They have one command,

Do not speak out, behave as sheep.",-155.06682290940003,"[None, -8.737158, -5.369558, -1.8165126, -10.784223, -0.3790181, -0.0013421981, -3.3530066, -4.5836954, -6.1665187, -4.271243, -11.952091, -1.2934793, -1.2274463, -6.2691407, -2.2256813, -1.3916988, -9.15503, -7.7148123, -3.9465275, -0.69068885, -1.6522204, -0.0038404507, -4.8107104, -2.4296103, -6.005032, -8.645635, -3.3429086, -5.7158737, -0.0034050106, -5.130425, -1.2658193, -3.8482451, -2.5117326, -1.9774188, -8.885529, -2.6194892, -3.31344, -1.5766164]"
38,The Matrix will only tell you what the Matrix needs you to believe.,-75.5528183143,"[None, -8.736613, -5.3717494, -1.8181711, -10.784108, -0.37931502, -0.0013435113, -3.3488266, -4.1745152, -11.753078, -5.0546136, -4.159839, -4.357286, -0.21144797, -1.0561993, -3.7244844, -0.6858004, -5.5035114, -0.13595237, -0.008255693, -3.7758152, -0.51189315]"
39,The Matrix sent their agents.,-70.07740513549999,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -4.175551, -11.74791, -9.979484, -7.18835, -2.7078156, -3.8376596]"
